evaluation_id,generator_key,generator_label,question_id,domain,technical_correctness,requirement_coverage,evidence_grounding,evidence_answer_consistency,technical_synthesis,unsupported_claims_control,overall_score,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention,judge_finish_reason,judge_latency_s,judge_completion_tokens,judge_attempt_count,candidate_original_validation_pass
gemma4_12b::Q1,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q1,5G Core,3,4,3,4,4,3,3.45,86.25,False,False,,stop,471.86402315099986,6584,1,True
gemma4_12b::Q2,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q2,Mobility,4,4,4,4,4,4,4.0,100.0,False,False,,stop,527.9053150140026,7333,1,True
gemma4_12b::Q3,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q3,RAN,4,4,4,4,4,4,4.0,100.0,False,False,,stop,857.936229838997,11880,1,True
gemma4_12b::Q4,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q4,QoS,4,4,4,4,4,4,4.0,100.0,False,False,,stop,487.53232277499774,6775,1,True
gemma4_12b::Q5,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q5,Security,4,4,4,4,4,4,4.0,100.0,False,False,,stop,590.3708349519948,8135,1,True
gemma4_12b::Q6,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q6,Internet Transport,4,4,3,4,4,3,3.75,93.75,False,True,,stop,634.3536467890008,8795,1,True
gemma4_12b::Q7,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q7,Telecom AI Research,4,4,4,4,4,4,4.0,100.0,False,False,,stop,436.8871120739932,6115,1,True
gemma4_12b::Q8,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q8,5G SBA + Internet Protocols,3,3,2,3,3,2,2.75,68.75,False,True,,stop,345.82934053299687,4846,1,True
gemma4_12b::Q9,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q9,O-RAN Architecture,4,4,4,4,4,4,4.0,100.0,False,False,,stop,808.7911483670032,11046,1,True
gemma4_12b::Q10,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q10,Cloud-Native 5G Core,3,3,3,4,3,3,3.1,77.5,False,True,,stop,528.9717565309984,7293,1,True
gemma4_12b::Q11,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q11,IETF Security,4,4,4,4,4,4,4.0,100.0,False,False,,stop,468.1445796090047,6531,1,True
gemma4_12b::Q12,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q12,Telecom AI Research,4,4,4,4,4,4,4.0,100.0,False,False,,stop,433.94823271399946,6073,1,True
gemma4_12b::Q13,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q13,5G SBA + Cloud Platform,4,4,3,4,4,3,3.75,93.75,False,True,,stop,538.973837503996,7471,1,True
gemma4_12b::Q14,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q14,AI/ML + 5G QoS and Slicing,3,3,3,3,3,2,2.95,73.75,False,True,,stop,469.31220909699914,6544,1,True
gemma4_12b::Q15,gemma4_12b,Gemma 4 12B IT QAT W4A16,Q15,Cross-Layer 5G Fault Isolation,4,4,3,4,4,3,3.75,93.75,False,True,,stop,304.7959844029974,4265,1,True
