track,system_name,mode,questions,pass_count,fail_count,mean_generation_time_sec,mean_input_tokens,mean_output_tokens,retrieved_evidence_records
Track 1,Essential AI Only,LLM_ONLY,20,20,0,64.398,51.65,767.4,0
Track 1,Essential AI + RAG,RAG_V1,20,20,0,65.982,4940.7,495.4,140
Track 1,Gemma 4 Only,LLM_ONLY,20,20,0,,,,0
Track 1,Gemma 4 + RAG,RAG_V1,20,20,0,19.492,5234.25,463.4,140
Track 1,Otel 2.0 Only,LLM_ONLY,20,20,0,230.878,52.5,990.5,0
Track 2,Essential AI Only,LLM_ONLY,32,32,0,42.962,534.344,506.812,0
Track 2,Essential AI + RAG,RAG_V1,32,23,9,32.802,5225.174,277.043,161
Track 2,Gemma 4 Only,LLM_ONLY,32,32,0,,,,0
Track 2,Gemma 4 + RAG,RAG_V1,32,32,0,6.425,6725.875,74.031,224
Track 2,Otel 2.0 Only,LLM_ONLY,32,32,0,126.911,651.938,334.406,0
