model,question_id,domain,benchmark_group_frozen,stress_class_frozen,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,retrieval_stop_reason,answer_validation_pass,completion_tokens,answer_generation_s,end_to_end_s,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention
Gemma 4 12B,Q1,5G Core,CONTINUITY,CONTINUITY,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,True,475,19.126449513001717,50.492649845000415,86.25,False,False,
Qwen3.5 9B,Q1,5G Core,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,982,29.16090344300028,41.7253652349973,52.5,True,True,
Qwen3.8 27B,Q1,5G Core,CONTINUITY,CONTINUITY,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,False,1024,85.42752795699926,142.88846763699985,76.25,False,True,
Gemma 4 12B,Q10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,917,34.96927344999858,58.72916287800035,77.5,False,True,
Qwen3.5 9B,Q10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,1024,30.96255825800472,64.64871221999783,57.5,False,True,
Qwen3.8 27B,Q10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,False,1024,85.63037164699927,159.0736131070007,86.25,False,True,
Gemma 4 12B,Q11,IETF Security,STRESS,MCP_FAVOURED,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,601,23.515052348997415,47.42408329099999,100.0,False,False,
Qwen3.5 9B,Q11,IETF Security,STRESS,MCP_FAVOURED,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,30.73174059899611,43.50040126899694,91.25,False,True,
Qwen3.8 27B,Q11,IETF Security,STRESS,MCP_FAVOURED,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,85.54114346700226,120.14726055099891,92.5,False,True,
Gemma 4 12B,Q12,Telecom AI Research,STRESS,MCP_FAVOURED,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,True,669,25.8716240390022,63.04505725999843,100.0,False,False,
Qwen3.5 9B,Q12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,False,1024,31.48811538099835,64.47628855900257,100.0,False,False,
Qwen3.8 27B,Q12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,85.1512248709987,126.06509682799515,93.75,False,True,
Gemma 4 12B,Q13,5G SBA + Cloud Platform,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,True,946,36.04599316399981,73.92561709500296,93.75,False,True,
Qwen3.5 9B,Q13,5G SBA + Cloud Platform,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,1024,31.058490048002568,70.56565778100048,66.25,False,False,
Qwen3.8 27B,Q13,5G SBA + Cloud Platform,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,1024,83.29815843600227,165.0431932529973,60.0,False,True,
Gemma 4 12B,Q14,AI/ML + 5G QoS and Slicing,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,True,779,29.851309087000118,74.734929268001,73.75,False,True,
Qwen3.5 9B,Q14,AI/ML + 5G QoS and Slicing,STRESS,HYBRID,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,False,1024,30.79886155499844,49.78847390800365,80.0,False,True,
