question_id,domain,stress_class,knowledge_scope,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,stop_reason,final_sufficient,final_evidence,final_context_chars,answer_generation_s,end_to_end_s,answer_validation_pass
Q1,5G Core,CONTINUITY,3GPP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,3,7480,29.16090344300028,41.7253652349973,True
Q2,Mobility,CONTINUITY,3GPP,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,12485,31.041431473997363,47.022235807999095,False
Q3,RAN,CONTINUITY,3GPP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,1,2488,22.356866216003255,32.394034005999856,True
Q4,QoS,CONTINUITY,3GPP,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,11724,30.962524870003108,45.54292121600156,False
Q5,Security,CONTINUITY,3GPP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,2,4060,29.86269729799824,42.00927920899994,False
Q6,Internet Transport,CONTINUITY,TCC,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11836,28.538223332005145,40.79997752200143,True
Q7,Telecom AI Research,CONTINUITY,TCC,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12480,30.223855614996864,45.64663969299727,True
Q8,5G SBA + Internet Protocols,CONTINUITY,Hybrid,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,12468,31.407932512003754,48.49398007400305,False
Q9,O-RAN Architecture,RAG_FAVOURED,RAG,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12495,30.769923314997868,48.72986538200348,False
Q10,Cloud-Native 5G Core,RAG_FAVOURED,RAG,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12468,30.96255825800472,64.64871221999783,False
Q11,IETF Security,MCP_FAVOURED,MCP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12107,30.73174059899611,43.50040126899694,False
Q12,Telecom AI Research,MCP_FAVOURED,MCP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12478,31.48811538099835,64.47628855900257,False
Q13,5G SBA + Cloud Platform,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,10289,31.058490048002568,70.56565778100048,False
Q14,AI/ML + 5G QoS and Slicing,HYBRID,Hybrid,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,12102,30.79886155499844,49.78847390800365,False
Q15,Cross-Layer 5G Fault Isolation,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12178,31.03303104999941,69.7784197439978,False
Q16,Unsupported Proprietary Knowledge,RETRIEVAL_TRAP,Unsupported,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,4,9959,14.27601231099834,39.6743284549957,True
