question_id,domain,stress_class,knowledge_scope,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,stop_reason,final_sufficient,final_evidence,final_context_chars,answer_generation_s,end_to_end_s,answer_validation_pass
Q1,5G Core,CONTINUITY,3GPP,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,10730,19.126449513001717,50.492649845000415,True
Q2,Mobility,CONTINUITY,3GPP,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,12457,25.71483971899943,63.84998146900034,True
Q3,RAN,CONTINUITY,3GPP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,3,3804,27.18058085099983,40.340993384998,True
Q4,QoS,CONTINUITY,3GPP,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,11535,29.85267409500011,56.26460458300062,True
Q5,Security,CONTINUITY,3GPP,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,11684,27.72232798999903,61.885898185999395,True
Q6,Internet Transport,CONTINUITY,TCC,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12108,24.590751705000002,50.05165825900258,True
Q7,Telecom AI Research,CONTINUITY,TCC,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,12497,23.058247320997907,56.55649738499778,True
Q8,5G SBA + Internet Protocols,CONTINUITY,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12003,28.502510041998903,65.6590518280027,True
Q9,O-RAN Architecture,RAG_FAVOURED,RAG,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,10910,27.90127991799818,46.61598117199901,True
Q10,Cloud-Native 5G Core,RAG_FAVOURED,RAG,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,10620,34.96927344999858,58.72916287800035,True
Q11,IETF Security,MCP_FAVOURED,MCP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,11627,23.515052348997415,47.42408329099999,True
Q12,Telecom AI Research,MCP_FAVOURED,MCP,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12479,25.8716240390022,63.04505725999843,True
Q13,5G SBA + Cloud Platform,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,11798,36.04599316399981,73.92561709500296,True
Q14,AI/ML + 5G QoS and Slicing,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,11125,29.851309087000118,74.734929268001,True
Q15,Cross-Layer 5G Fault Isolation,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12486,37.45768622999822,75.5149739619992,True
Q16,Unsupported Proprietary Knowledge,RETRIEVAL_TRAP,Unsupported,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,2,4991,7.4185018469979696,28.618335562001448,True
