generator_key,model,question_id,question,domain,benchmark_group,stress_class,knowledge_scope,answer_policy,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,retrieval_stop_reason,final_sufficient,final_evidence_count,final_context_chars,answer_generation_s,end_to_end_s,prompt_tokens,completion_tokens,total_tokens,answer_validation_pass,finish_reason_validation_pass,answer_nonempty,has_evidence_citation,citation_range_ok,model_id,revision,question_number,benchmark_domain,benchmark_group_frozen,stress_class_frozen,knowledge_scope_frozen,expected_route_frozen,expected_mcp_route,answer_policy_frozen,technical_correctness,requirement_coverage,evidence_grounding,evidence_answer_consistency,technical_synthesis,unsupported_claims_control,overall_score,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention,judge_finish_reason,judge_latency_s,judge_completion_tokens
gemma4_12b,Gemma 4 12B,Q1,Explain the role of the AMF in registration and mobility management procedures in a 5G Standalone network.,5G Core,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,10730,19.126449513001717,50.492649845000415,3559,475,4034,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,1,5G Core,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,4.0,4.0,3.0,3.45,86.25,False,False,,stop,471.8640231509999,6584.0
qwen35_9b,Qwen3.5 9B,Q1,Explain the role of the AMF in registration and mobility management procedures in a 5G Standalone network.,5G Core,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,3,7480,29.16090344300028,41.7253652349973,2367,982,3349,True,True,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,5G Core,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,1.0,2.0,1.0,2.1,52.5,True,True,,stop,320.2090862429977,4528.0
qwen38_27b,Qwen3.8 27B,Q1,Explain the role of the AMF in registration and mobility management procedures in a 5G Standalone network.,5G Core,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,10411,85.42752795699926,142.88846763699985,3416,1024,4440,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,1,5G Core,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,3.0,3.0,3.0,4.0,3.0,2.0,3.05,76.25,False,True,,stop,448.24921857700247,6234.0
gemma4_12b,Gemma 4 12B,Q2,"Explain how inter-gNB handover operates in a 5G network, including the roles of the source gNB, target gNB and AMF.",Mobility,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,12457,25.71483971899943,63.84998146900034,3414,659,4073,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,2,Mobility,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,527.9053150140026,7333.0
qwen35_9b,Qwen3.5 9B,Q2,"Explain how inter-gNB handover operates in a 5G network, including the roles of the source gNB, target gNB and AMF.",Mobility,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,12485,31.041431473997363,47.022235807999095,3426,1024,4450,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,Mobility,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,2.0,2.0,2.0,2.25,56.25,False,True,,stop,497.5896141539997,6888.0
qwen38_27b,Qwen3.8 27B,Q2,"Explain how inter-gNB handover operates in a 5G network, including the roles of the source gNB, target gNB and AMF.",Mobility,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,3,0,3,3,SUFFICIENT_EVIDENCE,True,5,12473,85.34752975899755,157.59859255599804,3336,1024,4360,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,2,Mobility,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,2.0,2.0,1.0,2.2,55.0,True,True,,stop,506.6628654109954,7026.0
gemma4_12b,Gemma 4 12B,Q3,Explain how radio link failure is detected and handled in a 5G NR network.,RAN,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,3,3804,27.18058085099983,40.340993384998,1609,731,2340,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,3,RAN,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,857.936229838997,11880.0
qwen35_9b,Qwen3.5 9B,Q3,Explain how radio link failure is detected and handled in a 5G NR network.,RAN,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,1,2488,22.356866216003255,32.394034005999856,787,770,1557,True,True,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,RAN,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,3.0,3.0,2.0,3.0,2.0,1.0,2.6,65.0,False,True,,stop,424.5076185139988,6071.0
qwen38_27b,Qwen3.8 27B,Q3,Explain how radio link failure is detected and handled in a 5G NR network.,RAN,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,3,7393,83.85622212700036,122.46371589299815,2297,1024,3321,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,3,RAN,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,2.0,3.9,97.5,False,True,,stop,480.369253154,6738.0
gemma4_12b,Gemma 4 12B,Q4,"Explain how 5QI and QoS flows are handled in a 5G network, including the roles of the SMF and UPF.",QoS,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,11535,29.85267409500011,56.26460458300062,3383,774,4157,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,4,QoS,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,487.53232277499774,6775.0
