track,system_name,mode,source_filename,source_sha256,public_export,public_export_sha256,questions,pass,fail
Track 1,Essential AI Only,LLM_ONLY,track1_essentialai_llm_results_20260828_101033.json,2079f8ef11a5650d5d26b32afb6cde435bd7f2353b24bb3ab0eb317893896acb,track1_essential_ai_only.json,bb786a14a3180d9865da8d3ea626ca48675e48e9b7a49d5ec3f92b6179e6e037,20,20,0
Track 1,Essential AI + RAG,RAG_V1,track1_essentialai_rag_results_20260828_125927.json,631c6a2744e105683ec9274414e3db2fd4b91c841e54d6d4ad9259f6a35a37a2,track1_essential_ai_plus_rag.json,7c42cedf1dc9ac6f312cd36b4057bb75dd2c88263f5b464a544e3e6408eb12dd,20,20,0
Track 1,Gemma 4 Only,LLM_ONLY,track1_gemma4_llm_results.json,6f73fd16b1adbb0f8fbf34adf1429a3cb07bb1b010fa5af3362f848f726b9e30,track1_gemma_4_only.json,fd03b291d3a8cf08c2b184814fec411531dab53b580ac6382905325bb1e50a3e,20,20,0
Track 1,Gemma 4 + RAG,RAG_V1,track1_gemma4_vllm_rag_results_20260827_193305.json,faaacdfa60db58543529dbbe02f50dcb820f5981f038c8dfe5808cbcb1977b8c,track1_gemma_4_plus_rag.json,1a175cbdc7f20c56ac77278b0c1723864ad9fb2fe2b36aa7a3affcbaeb6f81ca,20,20,0
Track 1,Otel 2.0 Only,LLM_ONLY,track1_otel2_llm_results_20260826_232923.json,813f357e5b8ee4ac3ad462e41933a0a42e28855600c4d2ffc0986ad10ee330af,track1_otel_2_0_only.json,e2b8ad4ccafcbafc55ef61f8085ff19604dbc1a6f365af123cab29b1ca4f3aa2,20,20,0
Track 2,Essential AI Only,LLM_ONLY,track2_essentialai_llm_results_20260828_103230.json,b223e8560e3e7efa16503ee3730914d56f3a157533a48812ede555c3216367a5,track2_essential_ai_only.json,c47a6d0ca1da2d751f59485c919fb2b50c0bec48a78354ef15f7abebb6efdd42,32,32,0
Track 2,Essential AI + RAG,RAG_V1,track2_essentialai_rag_results_20260828_132208.json,5c20ce8dc06ff26b3a7254735b540c7640a7eeba1192e123568040f076e51ebb,track2_essential_ai_plus_rag.json,025485481e12d6b78a4a7eaff8d9b10b6a91aa6f2231fb6bb5d33ff1c0d700ae,32,23,9
Track 2,Gemma 4 Only,LLM_ONLY,track2_gemma4_llm_result.json,ed18ce4896d3e4a18d546e2cda6a58a4192c7ac80cd0813c8ae8d55f2f690c3b,track2_gemma_4_only.json,762b07b2baf01121051e270ed378517f36d9b3b8ae712b880a1520126ec27985,32,32,0
Track 2,Gemma 4 + RAG,RAG_V1,track2_gemma4_vllm_rag_results_20260827_193951.json,6b0e7469bdb3adc18b867921b5ff93ccd098d1b5bdd21e375b35abf7d195eb2b,track2_gemma_4_plus_rag.json,e790d7a27eb75f518ba47eb95475372ea20e4417315d5de5db883f920d2f856a,32,32,0
Track 2,Otel 2.0 Only,LLM_ONLY,track2_otel2_llm_results_20260827_004654.json,08b6636d9b5d2cc16a6e742799b13d734db615a9f11701fe8a249844c3c25233,track2_otel_2_0_only.json,b30143d1bb7c21d3355be8eca3236ad77e48c16e11aef189a79657c58dc5a6e4,32,32,0
