generator_key,model,question_id,question,domain,benchmark_group,stress_class,knowledge_scope,answer_policy,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,retrieval_stop_reason,final_sufficient,final_evidence_count,final_context_chars,answer_generation_s,end_to_end_s,prompt_tokens,completion_tokens,total_tokens,answer_validation_pass,finish_reason_validation_pass,answer_nonempty,has_evidence_citation,citation_range_ok,model_id,revision,question_number,benchmark_domain,benchmark_group_frozen,stress_class_frozen,knowledge_scope_frozen,expected_route_frozen,expected_mcp_route,answer_policy_frozen,technical_correctness,requirement_coverage,evidence_grounding,evidence_answer_consistency,technical_synthesis,unsupported_claims_control,overall_score,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention,judge_finish_reason,judge_latency_s,judge_completion_tokens,expected_mode,route_aligned
gemma4_12b,Gemma 4 12B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,10910,27.90127991799818,46.61598117199901,3278,722,4000,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,808.7911483670032,11046.0,RAG_ONLY,False
qwen35_9b,Qwen3.5 9B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12495,30.769923314997868,48.72986538200348,3229,1024,4253,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,3.0,3.0,3.0,3.25,81.25,False,True,,stop,564.3762962239998,7789.0,RAG_ONLY,False
qwen38_27b,Qwen3.8 27B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12494,85.21539094600303,124.31867620199773,3185,1024,4209,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,612.4228216280026,8435.0,RAG_ONLY,False
gemma4_12b,Gemma 4 12B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,10620,34.96927344999858,58.72916287800035,3345,917,4262,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,3.0,3.0,3.0,4.0,3.0,3.0,3.1,77.5,False,True,,stop,528.9717565309984,7293.0,RAG_ONLY,False
qwen35_9b,Qwen3.5 9B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12468,30.96255825800472,64.64871221999783,3543,1024,4567,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,3.0,2.0,1.0,2.3,57.5,False,True,,stop,337.75370927300537,4701.0,RAG_ONLY,False
qwen38_27b,Qwen3.8 27B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,False,5,12407,85.63037164699927,159.0736131070007,3462,1024,4486,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,4.0,4.0,3.0,3.45,86.25,False,True,,stop,290.3972465420011,4041.0,RAG_ONLY,True
gemma4_12b,Gemma 4 12B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,11627,23.515052348997415,47.42408329099999,3258,601,3859,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,468.1445796090047,6531.0,MCP_ONLY,True
qwen35_9b,Qwen3.5 9B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12107,30.73174059899611,43.50040126899694,2949,1024,3973,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,3.0,3.0,3.65,91.25,False,True,,stop,441.0315626740048,6154.0,MCP_ONLY,True
qwen38_27b,Qwen3.8 27B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11041,85.54114346700226,120.14726055099891,3273,1024,4297,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,4.0,2.0,3.7,92.5,False,True,,stop,474.9425544650003,6599.0,MCP_ONLY,True
gemma4_12b,Gemma 4 12B,Q12,"According to IEEE and research literature, what technical considerations are important when deploying machine-learning based anomaly detection for telecom network operations? Discuss feature design, evaluation, false positives, concept drift and operational deployment.",Telecom AI Research,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12479,25.8716240390022,63.04505725999843,3077,669,3746,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,433.94823271399946,6073.0,MCP_ONLY,False
